qasm_path,runtime,fidelity,matrix_product_state_max_bond_dimension,mps_lapack,opt_level,matrix_product_state_truncation_threshold,mps_sample_measure_algorithm
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3293437957763672,0.997,32,0,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.5508732795715332,0.996,256,1,3,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.5121316909790039,0.996,512,1,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4745347499847412,0.996,512,1,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.6152055263519287,1.0,64,1,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.747901201248169,1.0,32,1,2,1e-8,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3847477436065674,0.98,64,0,2,1e-2,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3936936855316162,0.997,256,1,2,1e-4,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3803069591522217,0.996,512,0,2,1e-3,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.433530330657959,1.0,256,0,2,1e-6,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3495612144470215,0.996,512,0,1,1e-3,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.4253692626953125,0.997,128,0,2,1e-4,mps_apply_measure
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.3115501403808594,0.98,16,0,2,1e-2,mps_probabilities
feniqs_optimizer/data/paper_data/qpeinexact/qpeinexact_ucx_44.qasm,0.31976318359375,0.996,32,0,3,1e-3,mps_probabilities
